text,category
Wrong tax demand notice received please resolve asap,Tax
Internet bill paid but service suspended requesting quick action pls.,Internet Services
Harassment complaint needs attention; service not working from last night high priority Thanks.,Law & Order
Wrong cylinder delivered by agency since last month kindly look into this Kindly help.,Gas
Delay in pension payment every month for a week requesting quick action,Pension
Ticketing machine not working in bus; complaint not updated for 2 days near MG Road urgent madad kijiye Thanks.,Transport
Water pipeline leakage on the street - tap for a week near Block A high priority.,Water
Water pipeline leakage on the street; status pending for a week urgent pls.,Water
Pension status showing pending for long time near Model Town,Pension
Scholarship amount not received from 10 AM today near Nehru Nagar Kindly help.,Education
Doctor not present in government hospital Kindly help.,Healthcare
Salary not received under scheme - unemployment near Civil Lines,Employment
Drain is blocked and sewage is overflowing for 2 days,Sanitation
Passport verification delayed near Phase 1 pls.,Documents
Wrong tax demand notice received for a week near Model Town Kindly help.,Tax
Harassment complaint needs attention; support not responding for 3 days near New Town namaskar.,Law & Order
College fee receipt not generated online since last week,Education
Overcharging by vendors at station - railway please pls.,Railways
GST registration issue on portal since last month near Civil Lines urgent pls.,Tax
Hospital staff not available at counter from last night.,Healthcare
Delay in pension payment every month - disbursement needs immediate attention,Pension
Public toilet is not maintained since last month Kindly help.,Sanitation
Voltage fluctuation is damaging appliances since last month.,Electricity
Voltage fluctuation is damaging appliances near Phase 2 namaskar Thanks.,Electricity
Transformer is sparking and making noise; support not responding since last week.,Electricity
General complaint about public service delay for a week near Nehru Nagar please resolve asap Kindly help.,Other
Overcharging by vendors at station for 2 days near Ward 5 requesting quick action please pls.,Railways
Driver rash driving complaint from last night near Nehru Nagar requesting quick action Thanks.,Transport
No network coverage inside my house; complaint not updated for 3 days near Phase 1 pls.,Telecom
Water pipeline leakage on the street near Gandhi Nagar Kindly help.,Water
No street cleaning in our area - waste; bill issue requesting quick action.,Sanitation
Flat allotment not received after approval - flat; refund not received near Ward 5 Thanks.,Housing
Salary not received under scheme for 48 hours jaldi Kindly help.,Employment
ATM cash not received but balance debited for 2 days Kindly help.,Banking
SIM not active even after recharge please resolve asap bahut problem Kindly help.,Telecom
Frequent call drops and poor signal from last night near Block C kindly look into this Thanks.,Telecom
Internet bill paid but service suspended near Nehru Nagar needs immediate attention!,Internet Services
Housing scheme application rejected wrongly; status pending since last month urgent sir/madam!,Housing
SIM not active even after recharge; status pending for 48 hours near Model Town Thanks.,Telecom
Drain is blocked and sewage is overflowing for 2 days needs immediate attention pls.,Sanitation
No network coverage inside my house - sim near Ward 11!,Telecom
Salary not received under scheme for 2 days Thanks.,Employment
Passport verification delayed for 3 days near Model Town.,Documents
Voltage fluctuation is damaging appliances; refund not received for 3 days near Gandhi Nagar please resolve asap namaskar pls.,Electricity
Employment office registration issue since last month requesting quick action namaskar pls.,Employment
Drain is blocked and sewage is overflowing near New Town.,Sanitation
Tax portal login problem since last month urgent pls.,Tax
Employment office registration issue for 48 hours!,Employment
No network coverage inside my house since yesterday madad kijiye,Telecom
Insurance claim not processed yet - policy; portal error for 48 hours near Gandhi Nagar pls.,Insurance
Employment office registration issue; service not working requesting quick action Kindly help.,Employment
Need correction in insurance policy details - policy please Kindly help.,Insurance
Safety issue in locality at night from last night near Civil Lines needs immediate attention Thanks.,Law & Order
SIM not active even after recharge for a week near MG Road kindly look into this pls.,Telecom
Drain is blocked and sewage is overflowing since last week near Gandhi Nagar namaskar pls.,Sanitation
Pension status showing pending for long time since last week pls.,Pension
Name correction in PAN card not done for 2 days near Main Bazaar.,Documents
Internet bill paid but service suspended namaskar,Internet Services
Wrong cylinder delivered by agency - gas leakage since yesterday near Nehru Nagar requesting quick action.,Gas
Driver rash driving complaint for 48 hours.,Transport
Cheque clearance taking too long urgent,Banking
Policy document not received - policy; status pending since last week urgent!,Insurance
Drain is blocked and sewage is overflowing; bill issue for 3 days near Sector 12 kindly look into this please pls.,Sanitation
Train delayed without information for 48 hours near Station Road pls.,Railways
Delay in pension payment every month for 48 hours urgent pls.,Pension
Doctor not present in government hospital requesting quick action Kindly help.,Healthcare
Housing scheme application rejected wrongly near Nehru Nagar pls.,Housing
Ticketing machine not working in bus near New Town,Transport
Street road is flooded because of bad surface since last week,Roads
Employment office registration issue; service not working near MG Road high priority bahut problem,Employment
Wrong cylinder delivered by agency - cylinder; bill issue since yesterday near Block A kripya Kindly help.,Gas
Train delayed without information near Ward 11 urgent Kindly help.,Railways
Overcharging by vendors at station since last month near New Town high priority,Railways
General complaint about public service delay - general for 48 hours near Main Bazaar,Other
Cheque clearance taking too long for 3 days please resolve asap kripya,Banking
Wrong cylinder delivered by agency; bill issue kindly look into this please pls.,Gas
Name correction in PAN card not done; refund not received please!,Documents
SIM not active even after recharge; service not working needs immediate attention madad kijiye Thanks.,Telecom
Drain is blocked and sewage is overflowing near Phase 2 Thanks.,Sanitation
LPG subsidy not received from 10 AM today near Model Town!,Gas
Water pipeline leakage on the street near Nehru Nagar please resolve asap!,Water
Delay in pension payment every month - payment; complaint not updated near Model Town,Pension
WiFi speed is very slow; refund not received near Block A!,Internet Services
Flat allotment not received after approval near Block C pls.,Housing
Need help regarding government portal issue; portal error near Phase 2.,Other
Hospital staff not available at counter; support not responding for a week.,Healthcare
ATM cash not received but balance debited from 10 AM today kripya,Banking
Road has big potholes causing accidents since last month madad kijiye Thanks.,Roads
SIM not active even after recharge since yesterday jaldi Kindly help.,Telecom
WiFi speed is very slow; portal error for a week near Ward 5,Internet Services
Requesting guidance for grievance process; portal error for 2 days near Ward 5 Kindly help.,Other
Street road is flooded because of bad surface for a week Thanks.,Roads
Public toilet is not maintained; service not working from 10 AM today bahut problem.,Sanitation
Aadhaar update request pending for 2 days near Ring Road kindly look into this pls.,Documents
No street cleaning in our area; complaint not updated near Shivaji Chowk pls.,Sanitation
Overcharging by vendors at station from 10 AM today Kindly help.,Railways
No network coverage inside my house kindly look into this.,Telecom
Scholarship amount not received; refund not received near Phase 1 Kindly help.,Education
Frequent power cuts every night; refund not received for 48 hours near Gandhi Nagar!,Electricity
Requesting guidance for grievance process; portal error for 48 hours needs immediate attention!,Other
Overcharging by vendors at station madad kijiye!,Railways
Harassment complaint needs attention; service not working since yesterday pls.,Law & Order
Pension status showing pending for long time for a week,Pension
Scholarship amount not received; refund not received!,Education
Wrong cylinder delivered by agency; refund not received near Gandhi Nagar please resolve asap pls.,Gas
Tax portal login problem for a week sir/madam pls.,Tax
Requesting guidance for grievance process - misc Kindly help.,Other
Need correction in insurance policy details from last night please resolve asap pls.,Insurance
Ticketing machine not working in bus - route; status pending from 10 AM today high priority,Transport
Broadband internet not working for 3 days near New Town,Internet Services
Need correction in insurance policy details - claim for 3 days near Old City high priority please Kindly help.,Insurance
Driver rash driving complaint from 10 AM today near Shivaji Chowk jaldi,Transport
Employment office registration issue for a week urgent!,Employment
No water supply to our house - tap for a week near New Town.,Water
Drain is blocked and sewage is overflowing; support not responding from 10 AM today urgent madad kijiye Thanks.,Sanitation
ATM cash not received but balance debited; service not working since yesterday kindly look into this.,Banking
Overcharging by vendors at station for 48 hours.,Railways
LPG subsidy not received; support not responding since last month please resolve asap pls.,Gas
Public toilet is not maintained for a week near Ward 5 namaskar Thanks.,Sanitation
School has no proper drinking water and toilets for 3 days.,Education
General complaint about public service delay for a week near Nehru Nagar needs immediate attention Kindly help.,Other
Wrong cylinder delivered by agency near New Town.,Gas
School has no proper drinking water and toilets since last month please!,Education
Delay in pension payment every month - benefit from last night near Ring Road Thanks.,Pension
Housing scheme application rejected wrongly since last month urgent Kindly help.,Housing
College fee receipt not generated online; status pending for 2 days requesting quick action,Education
Housing scheme application rejected wrongly for 2 days near Old City urgent Kindly help.,Housing
Aadhaar update request pending; service not working for 2 days near New Town kindly look into this!,Documents
ATM cash not received but balance debited - atm near Ward 11 Thanks.,Banking
Broadband internet not working from 10 AM today please resolve asap Thanks.,Internet Services
Voltage fluctuation is damaging appliances for 48 hours near Sector 12 needs immediate attention Thanks.,Electricity
SIM not active even after recharge; status pending from last night Kindly help.,Telecom
Street road is flooded because of bad surface near Block A!,Roads
Transformer is sparking and making noise Thanks.,Electricity
Safety issue in locality at night since yesterday near Ward 11.,Law & Order
Policy document not received near Main Bazaar urgent!,Insurance
Cheque clearance taking too long from last night near Main Bazaar high priority!,Banking
ATM cash not received but balance debited near Sector 21,Banking
Drain is blocked and sewage is overflowing - waste; portal error for 2 days please resolve asap!,Sanitation
Wrong cylinder delivered by agency kindly look into this!,Gas
Scholarship amount not received requesting quick action Thanks.,Education
Housing scheme application rejected wrongly kindly look into this kripya pls.,Housing
Requesting guidance for grievance process from 10 AM today near Block A kindly look into this pls.,Other
Road has big potholes causing accidents jaldi Kindly help.,Roads
Doctor not present in government hospital near Station Road madad kijiye pls.,Healthcare
Train delayed without information - delay for 3 days near Phase 2.,Railways
Salary not received under scheme; refund not received requesting quick action Thanks.,Employment
Safety issue in locality at night; service not working!,Law & Order
Road has big potholes causing accidents since last week.,Roads
Wrong tax demand notice received since last week Kindly help.,Tax
Name correction in PAN card not done - aadhaar near Phase 2 madad kijiye Thanks.,Documents
Tax portal login problem for 3 days!,Tax
Employment office registration issue; status pending Thanks.,Employment
Public bus service delayed daily - bus; bill issue.,Transport
College fee receipt not generated online kindly look into this Kindly help.,Education
SIM not active even after recharge kindly look into this Kindly help.,Telecom
General complaint about public service delay; service not working since last week near New Town.,Other
Cheque clearance taking too long; bill issue requesting quick action,Banking
Drain is blocked and sewage is overflowing; refund not received for a week sir/madam,Sanitation
Frequent power cuts every night near Gandhi Nagar,Electricity
ATM cash not received but balance debited from 10 AM today urgent pls.,Banking
Broadband internet not working Kindly help.,Internet Services
No network coverage inside my house - call drop since yesterday near Main Bazaar Kindly help.,Telecom
Doctor not present in government hospital high priority kripya pls.,Healthcare
Delay in pension payment every month; status pending near Shivaji Chowk pls.,Pension
No street cleaning in our area; refund not received for 3 days urgent madad kijiye,Sanitation
Passport verification delayed; refund not received for 3 days,Documents
No street cleaning in our area - sewage; support not responding please resolve asap sir/madam,Sanitation
Voltage fluctuation is damaging appliances since yesterday please resolve asap Kindly help.,Electricity
Name correction in PAN card not done for 3 days needs immediate attention namaskar Thanks.,Documents
LPG subsidy not received for 48 hours please Thanks.,Gas
LPG subsidy not received; bill issue high priority.,Gas
WiFi speed is very slow; status pending.,Internet Services
Frequent power cuts every night for 48 hours please,Electricity
Need help regarding government portal issue; service not working requesting quick action Thanks.,Other
Wrong cylinder delivered by agency needs immediate attention Thanks.,Gas
General complaint about public service delay - complaint for 2 days Kindly help.,Other
No network coverage inside my house for a week near Ward 5 requesting quick action Thanks.,Telecom
ATM cash not received but balance debited - account.,Banking
Safety issue in locality at night - safety from 10 AM today requesting quick action pls.,Law & Order
Overcharging by vendors at station; support not responding from last night urgent madad kijiye pls.,Railways
Pension status showing pending for long time for 3 days please resolve asap,Pension
GST registration issue on portal - gst since yesterday near Gandhi Nagar!,Tax
Hospital staff not available at counter for 2 days please,Healthcare
Need correction in insurance policy details - insurance kripya.,Insurance
Electricity bill shows wrong meter reading; portal error near Gandhi Nagar requesting quick action jaldi!,Electricity
Ticketing machine not working in bus - delay near Ward 5 needs immediate attention namaskar,Transport
Frequent call drops and poor signal for 2 days near Phase 1 kripya.,Telecom
Safety issue in locality at night; bill issue for 48 hours namaskar!,Law & Order
LPG subsidy not received near Phase 1.,Gas
Flat allotment not received after approval for 48 hours.,Housing
Need help regarding government portal issue near Sector 21!,Other
No network coverage inside my house since yesterday near Block C Thanks.,Telecom
Insurance claim not processed yet near Block C requesting quick action Kindly help.,Insurance
Medicine not available in dispensary near Phase 2 Kindly help.,Healthcare
Flat allotment not received after approval; support not responding since yesterday kindly look into this Kindly help.,Housing
Name correction in PAN card not done; complaint not updated sir/madam pls.,Documents
No network coverage inside my house Kindly help.,Telecom
Transformer is sparking and making noise since last month near Civil Lines.,Electricity
WiFi speed is very slow - wifi for 48 hours near Sector 21 namaskar.,Internet Services
ATM cash not received but balance debited; portal error since last week kripya Thanks.,Banking
LPG subsidy not received - cylinder near Old City high priority pls.,Gas
Train delayed without information pls.,Railways
No water supply to our house; portal error near Main Bazaar namaskar pls.,Water
Public toilet is not maintained - waste since yesterday near Main Bazaar high priority pls.,Sanitation
Harassment complaint needs attention since last week urgent kripya pls.,Law & Order
Pension status showing pending for long time; complaint not updated since last month near Ward 11 please resolve asap!,Pension
Aadhaar update request pending for 2 days near MG Road sir/madam Thanks.,Documents
Scholarship amount not received for 3 days near Phase 1 pls.,Education
LPG subsidy not received; portal error kripya.,Gas
Policy document not received; complaint not updated for 3 days near Phase 1 kindly look into this Kindly help.,Insurance
College fee receipt not generated online for a week near Old City needs immediate attention madad kijiye.,Education
Housing scheme application rejected wrongly - flat kripya.,Housing
GST registration issue on portal near Main Bazaar urgent pls.,Tax
Aadhaar update request pending near Ward 11!,Documents
Pension status showing pending for long time from last night near Block A please resolve asap Kindly help.,Pension
Dirty water coming from taps - dirty water; service not working from 10 AM today near Phase 1 high priority please!,Water
Harassment complaint needs attention - harassment; status pending high priority!,Law & Order
Employment office registration issue; refund not received since yesterday requesting quick action pls.,Employment
LPG subsidy not received; refund not received since yesterday near Main Bazaar needs immediate attention kripya.,Gas
Requesting guidance for grievance process for a week kindly look into this sir/madam.,Other
Aadhaar update request pending for 2 days near Station Road Thanks.,Documents
Road has big potholes causing accidents for a week near Gandhi Nagar kindly look into this Thanks.,Roads
ATM cash not received but balance debited for 2 days please!,Banking
Train delayed without information; status pending,Railways
Net banking login not working; refund not received please resolve asap,Banking
School has no proper drinking water and toilets,Education
Employment office registration issue for a week kripya Thanks.,Employment
Net banking login not working; support not responding near Ring Road pls.,Banking
Transformer is sparking and making noise kindly look into this,Electricity
Internet bill paid but service suspended; status pending please Thanks.,Internet Services
Requesting guidance for grievance process; portal error from 10 AM today near Gandhi Nagar needs immediate attention.,Other
Insurance claim not processed yet since last month near Ring Road Thanks.,Insurance
Water pipeline leakage on the street; portal error for 3 days pls.,Water
General complaint about public service delay for 48 hours near Station Road please resolve asap.,Other
Employment office registration issue.,Employment
Driver rash driving complaint; complaint not updated since yesterday jaldi Kindly help.,Transport
Policy document not received near MG Road Kindly help.,Insurance
School has no proper drinking water and toilets; portal error near Model Town needs immediate attention,Education
Salary not received under scheme namaskar Kindly help.,Employment
Wrong cylinder delivered by agency for 48 hours near Old City urgent!,Gas
Scholarship amount not received since last month sir/madam.,Education
Harassment complaint needs attention since last month sir/madam pls.,Law & Order
General complaint about public service delay; support not responding for 2 days bahut problem pls.,Other
Train delayed without information - train since yesterday please pls.,Railways
Tax portal login problem since last week kindly look into this,Tax
Train delayed without information from last night near Sector 12 please resolve asap pls.,Railways
Pension status showing pending for long time; status pending since yesterday near MG Road pls.,Pension
Insurance claim not processed yet; bill issue since last month jaldi.,Insurance
Medicine not available in dispensary; service not working since last month near MG Road madad kijiye Kindly help.,Healthcare
Doctor not present in government hospital from last night,Healthcare
No water supply to our house - pipeline needs immediate attention Thanks.,Water
Medicine not available in dispensary near Station Road please.,Healthcare
Water pipeline leakage on the street near Model Town madad kijiye,Water
Ticketing machine not working in bus near Block A high priority pls.,Transport
Safety issue in locality at night near Old City pls.,Law & Order
WiFi speed is very slow for 48 hours madad kijiye pls.,Internet Services
Cheque clearance taking too long - upi from last night pls.,Banking
Harassment complaint needs attention high priority kripya pls.,Law & Order
Requesting guidance for grievance process for a week!,Other
Name correction in PAN card not done; portal error near Phase 2!,Documents
Cheque clearance taking too long for 2 days near Sector 12!,Banking
Frequent call drops and poor signal; portal error for 3 days,Telecom
Frequent call drops and poor signal; bill issue from last night near Ring Road kindly look into this bahut problem pls.,Telecom
College fee receipt not generated online for a week urgent Thanks.,Education
Safety issue in locality at night for 2 days!,Law & Order
Frequent call drops and poor signal; bill issue near Old City bahut problem Kindly help.,Telecom
Need help regarding government portal issue near Nehru Nagar Kindly help.,Other
Delay in pension payment every month near Ward 5 sir/madam Thanks.,Pension
Policy document not received - premium urgent!,Insurance
No street cleaning in our area!,Sanitation
Public toilet is not maintained for a week pls.,Sanitation
Electricity bill shows wrong meter reading - power cut for 3 days madad kijiye Thanks.,Electricity
School has no proper drinking water and toilets urgent Kindly help.,Education
Medicine not available in dispensary for a week Kindly help.,Healthcare
Internet bill paid but service suspended for 3 days sir/madam Thanks.,Internet Services
Flat allotment not received after approval; bill issue pls.,Housing
Requesting guidance for grievance process near Station Road!,Other
Safety issue in locality at night - harassment near Sector 21 please Kindly help.,Law & Order
Delay in pension payment every month near New Town Kindly help.,Pension
Delay in pension payment every month; support not responding since last month near Nehru Nagar kripya.,Pension
Broadband internet not working!,Internet Services
Salary not received under scheme since last week pls.,Employment
Need help regarding government portal issue; support not responding since last month.,Other
Transformer is sparking and making noise - voltage; portal error requesting quick action Thanks.,Electricity
Need help regarding government portal issue from last night urgent,Other
Cheque clearance taking too long for 3 days bahut problem.,Banking
Transformer is sparking and making noise; bill issue since last week near Block A needs immediate attention Thanks.,Electricity
Employment office registration issue; status pending for a week please!,Employment
Frequent call drops and poor signal; refund not received near Block C.,Telecom
Train delayed without information; service not working from 10 AM today.,Railways
Street road is flooded because of bad surface; portal error for 2 days requesting quick action Kindly help.,Roads
Water pipeline leakage on the street - dirty water; service not working near MG Road!,Water
Wrong cylinder delivered by agency from last night urgent pls.,Gas
Flat allotment not received after approval; portal error,Housing
Dirty water coming from taps,Water
Delay in pension payment every month - payment namaskar pls.,Pension
Need help regarding government portal issue; service not working,Other
Safety issue in locality at night; service not working pls.,Law & Order
Scholarship amount not received - school from 10 AM today near Station Road!,Education
No street cleaning in our area since last week near Sector 12 Kindly help.,Sanitation
Electricity bill shows wrong meter reading since last week Thanks.,Electricity
Passport verification delayed for 3 days near Station Road kindly look into this sir/madam Thanks.,Documents
Frequent power cuts every night near Shivaji Chowk.,Electricity
Medicine not available in dispensary for a week near Civil Lines Kindly help.,Healthcare
College fee receipt not generated online; bill issue namaskar!,Education
Road has big potholes causing accidents near Phase 2 urgent Kindly help.,Roads
GST registration issue on portal - refund since yesterday madad kijiye Kindly help.,Tax
Ticketing machine not working in bus - delay; portal error for 2 days near New Town pls.,Transport
Internet bill paid but service suspended; status pending near Block A kripya!,Internet Services
Water pipeline leakage on the street Kindly help.,Water
Hospital staff not available at counter; refund not received near Sector 12 kripya pls.,Healthcare
LPG subsidy not received requesting quick action,Gas
Employment office registration issue; status pending for 3 days Kindly help.,Employment
GST registration issue on portal - tax portal since last week near Ward 11 namaskar Thanks.,Tax
Cheque clearance taking too long since last week near MG Road,Banking
Frequent power cuts every night near Phase 2 kripya pls.,Electricity
Pension status showing pending for long time; status pending near Shivaji Chowk Thanks.,Pension
No water supply to our house from 10 AM today near New Town!,Water
Internet bill paid but service suspended from last night near Ward 11 requesting quick action pls.,Internet Services
Drain is blocked and sewage is overflowing; status pending kindly look into this please,Sanitation
Ticketing machine not working in bus for 2 days,Transport
Voltage fluctuation is damaging appliances since last month,Electricity
Wrong tax demand notice received near MG Road namaskar,Tax
Need correction in insurance policy details for 2 days,Insurance
Public toilet is not maintained near Station Road!,Sanitation
Drain is blocked and sewage is overflowing!,Sanitation
SIM not active even after recharge namaskar Thanks.,Telecom
Requesting guidance for grievance process - help from 10 AM today,Other
Public toilet is not maintained; support not responding.,Sanitation
Broadband internet not working; complaint not updated near Station Road requesting quick action!,Internet Services
No water supply to our house; status pending since last week near Phase 2 pls.,Water
Pension status showing pending for long time for 48 hours near Sector 12,Pension
Name correction in PAN card not done; service not working since last month near Sector 12,Documents
Harassment complaint needs attention since last week urgent!,Law & Order
Public toilet is not maintained from last night near Ring Road!,Sanitation
Broadband internet not working; portal error for a week requesting quick action.,Internet Services
Pension status showing pending for long time - payment please resolve asap pls.,Pension
No water supply to our house namaskar!,Water
College fee receipt not generated online from 10 AM today near New Town please resolve asap!,Education
Hospital staff not available at counter from 10 AM today near Model Town Kindly help.,Healthcare
WiFi speed is very slow Thanks.,Internet Services
Internet bill paid but service suspended; portal error pls.,Internet Services
Doctor not present in government hospital; status pending near Ward 11 Thanks.,Healthcare
Wrong cylinder delivered by agency pls.,Gas
Street road is flooded because of bad surface; status pending near Phase 2 high priority jaldi,Roads
Train delayed without information from 10 AM today sir/madam!,Railways
No water supply to our house - pipeline for 3 days pls.,Water
Passport verification delayed for 3 days jaldi!,Documents
Medicine not available in dispensary from 10 AM today please resolve asap pls.,Healthcare
Public bus service delayed daily; refund not received since last month near Ring Road.,Transport
ATM cash not received but balance debited - upi requesting quick action pls.,Banking
Requesting guidance for grievance process; support not responding for 2 days near Station Road pls.,Other
WiFi speed is very slow for 2 days near Civil Lines sir/madam!,Internet Services
Requesting guidance for grievance process; complaint not updated near Sector 21 high priority,Other
Medicine not available in dispensary - doctor for 3 days near Station Road madad kijiye,Healthcare
Drain is blocked and sewage is overflowing bahut problem,Sanitation
Passport verification delayed; support not responding near Ward 5 requesting quick action,Documents
Flat allotment not received after approval; portal error since last week near Main Bazaar bahut problem Thanks.,Housing
Policy document not received for 48 hours please resolve asap Kindly help.,Insurance
Wrong tax demand notice received; status pending since last week!,Tax
Road construction left incomplete; service not working for a week Thanks.,Roads
Insurance claim not processed yet near Ring Road!,Insurance
SIM not active even after recharge; service not working for a week Thanks.,Telecom
Housing scheme application rejected wrongly for 2 days near Block A urgent!,Housing
Policy document not received sir/madam,Insurance
School has no proper drinking water and toilets - teacher; portal error for 2 days please resolve asap.,Education
College fee receipt not generated online for 2 days kindly look into this pls.,Education
Voltage fluctuation is damaging appliances - voltage,Electricity
Housing scheme application rejected wrongly; support not responding for 2 days near Sector 12 Thanks.,Housing
Employment office registration issue from 10 AM today needs immediate attention namaskar Kindly help.,Employment
Flat allotment not received after approval; refund not received near Old City!,Housing
General complaint about public service delay - help; complaint not updated since last week Thanks.,Other
Road has big potholes causing accidents madad kijiye,Roads
Requesting guidance for grievance process - misc from 10 AM today pls.,Other
Wrong tax demand notice received; service not working for 48 hours,Tax
Medicine not available in dispensary - medicine for a week jaldi.,Healthcare
Net banking login not working for 2 days jaldi.,Banking
Harassment complaint needs attention; status pending since last month near Gandhi Nagar high priority!,Law & Order
Flat allotment not received after approval near Nehru Nagar high priority Kindly help.,Housing
Broadband internet not working near Ring Road urgent.,Internet Services
Frequent power cuts every night from last night sir/madam pls.,Electricity
Water pipeline leakage on the street - pipeline near Block C!,Water
Delay in pension payment every month - payment since last month.,Pension
Doctor not present in government hospital since last week.,Healthcare
Employment office registration issue; complaint not updated high priority sir/madam Thanks.,Employment
Requesting guidance for grievance process - misc near Model Town please resolve asap!,Other
Train delayed without information from 10 AM today kindly look into this madad kijiye.,Railways
School has no proper drinking water and toilets; complaint not updated Kindly help.,Education
Need correction in insurance policy details; bill issue for 48 hours namaskar Kindly help.,Insurance
Frequent call drops and poor signal since last month pls.,Telecom
Scholarship amount not received for 48 hours madad kijiye pls.,Education
Salary not received under scheme for 2 days urgent please!,Employment
Housing scheme application rejected wrongly; refund not received from 10 AM today near Main Bazaar requesting quick action,Housing
Overcharging by vendors at station for 2 days near Ward 5,Railways
Internet bill paid but service suspended from 10 AM today high priority please Kindly help.,Internet Services
Insurance claim not processed yet needs immediate attention,Insurance
Employment office registration issue; refund not received Thanks.,Employment
LPG subsidy not received; complaint not updated near Phase 1!,Gas
Policy document not received; refund not received near Nehru Nagar madad kijiye!,Insurance
No network coverage inside my house since last month near MG Road Thanks.,Telecom
Frequent power cuts every night; service not working pls.,Electricity
Overcharging by vendors at station; portal error for 3 days near Civil Lines kindly look into this madad kijiye pls.,Railways
Dirty water coming from taps; support not responding pls.,Water
Employment office registration issue; bill issue urgent jaldi Kindly help.,Employment
Ticketing machine not working in bus,Transport
Internet bill paid but service suspended high priority Thanks.,Internet Services
Delay in pension payment every month near New Town kripya.,Pension
Water pipeline leakage on the street requesting quick action Kindly help.,Water
Aadhaar update request pending near Main Bazaar!,Documents
Delay in pension payment every month near Phase 1 needs immediate attention!,Pension
Dirty water coming from taps for 3 days sir/madam!,Water
General complaint about public service delay; support not responding from 10 AM today,Other
Wrong tax demand notice received; portal error Thanks.,Tax
Medicine not available in dispensary,Healthcare
Wrong tax demand notice received since last week requesting quick action.,Tax
Requesting guidance for grievance process for a week near Nehru Nagar requesting quick action jaldi!,Other
No street cleaning in our area - drain,Sanitation
Scholarship amount not received - school Kindly help.,Education
Driver rash driving complaint since last week near Ward 11 Thanks.,Transport
Tax portal login problem; support not responding.,Tax
GST registration issue on portal for 48 hours near Phase 2,Tax
Road has big potholes causing accidents!,Roads
No water supply to our house - pipeline; refund not received for 2 days near New Town,Water
SIM not active even after recharge; refund not received since last week needs immediate attention!,Telecom
Passport verification delayed.,Documents
Wrong tax demand notice received near Civil Lines Thanks.,Tax
Delay in pension payment every month; bill issue urgent Thanks.,Pension
Train delayed without information - ticket since last week near Old City.,Railways
Train delayed without information for 2 days Thanks.,Railways
GST registration issue on portal for 3 days urgent,Tax
Policy document not received - policy near New Town urgent,Insurance
GST registration issue on portal; complaint not updated for a week Kindly help.,Tax
Drain is blocked and sewage is overflowing; service not working near Phase 1 Kindly help.,Sanitation
Insurance claim not processed yet please resolve asap Kindly help.,Insurance
Hospital staff not available at counter - doctor; status pending near Ward 5 kindly look into this kripya,Healthcare
Harassment complaint needs attention; service not working near Block C,Law & Order
Tax portal login problem; portal error,Tax
Doctor not present in government hospital from last night near Station Road namaskar pls.,Healthcare
WiFi speed is very slow near Ring Road jaldi pls.,Internet Services
Name correction in PAN card not done for a week near Old City requesting quick action sir/madam Kindly help.,Documents
Road has big potholes causing accidents - potholes urgent madad kijiye.,Roads
Wrong cylinder delivered by agency; portal error for 48 hours urgent!,Gas
Policy document not received since yesterday near Phase 2 kindly look into this!,Insurance
Street road is flooded because of bad surface; service not working from last night Kindly help.,Roads
Cheque clearance taking too long since yesterday near Sector 12 please resolve asap.,Banking
Driver rash driving complaint kindly look into this!,Transport
ATM cash not received but balance debited please resolve asap Thanks.,Banking
Overcharging by vendors at station since yesterday near Old City Kindly help.,Railways
Overcharging by vendors at station - train pls.,Railways
Salary not received under scheme - unemployment from last night near Civil Lines,Employment
Overcharging by vendors at station - station; status pending near Sector 21 pls.,Railways
Net banking login not working from 10 AM today near Block C kindly look into this kripya pls.,Banking
Delay in pension payment every month; support not responding since last month near Main Bazaar Kindly help.,Pension
GST registration issue on portal; bill issue from last night near Ward 5 kindly look into this madad kijiye pls.,Tax
Need help regarding government portal issue; complaint not updated near Civil Lines namaskar Kindly help.,Other
Name correction in PAN card not done; service not working for 2 days kripya pls.,Documents
Need correction in insurance policy details from 10 AM today.,Insurance
Frequent call drops and poor signal; refund not received.,Telecom
Policy document not received; refund not received for 48 hours needs immediate attention!,Insurance
Medicine not available in dispensary near Phase 1 urgent jaldi Kindly help.,Healthcare
Wrong cylinder delivered by agency for 48 hours near Gandhi Nagar pls.,Gas
Public bus service delayed daily - route for 2 days near Nehru Nagar kripya pls.,Transport
Need help regarding government portal issue near Shivaji Chowk please resolve asap Thanks.,Other
Overcharging by vendors at station urgent Thanks.,Railways
Overcharging by vendors at station near Nehru Nagar namaskar Thanks.,Railways
Driver rash driving complaint for 48 hours near Ward 5 urgent Kindly help.,Transport
Water pipeline leakage on the street please!,Water
Cheque clearance taking too long - transaction; status pending from 10 AM today near MG Road Kindly help.,Banking
LPG subsidy not received for 3 days near MG Road bahut problem Thanks.,Gas
Need correction in insurance policy details - premium since yesterday needs immediate attention kripya Thanks.,Insurance
Public bus service delayed daily; complaint not updated since last week near Main Bazaar high priority madad kijiye!,Transport
No water supply to our house since yesterday requesting quick action Kindly help.,Water
Ticketing machine not working in bus for a week kripya Kindly help.,Transport
No network coverage inside my house for a week near Nehru Nagar needs immediate attention Thanks.,Telecom
SIM not active even after recharge; complaint not updated since yesterday please Kindly help.,Telecom
